"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57737","CT006 REALIZAR TRANSFERÊNCIA TED COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:45:13 GMT-03:00 2025","passed","Mon Feb 10 10:46:11 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Firefox","testathon.test.transferencia.TransferenciaTest","testDeveTransferirComSucesso"
"","30906","CT003.3 REALIZAR LOGIN COM CPF EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 11:01:43 GMT-03:00 2025","broken","Mon Feb 10 11:02:14 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testTentarFazerLoginComCpfEmBranco"
"","31827","CT001 ALTERAR SENHA DE ACESSO COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:48:30 GMT-03:00 2025","broken","Mon Feb 10 10:49:01 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testDeveAlterarSenhaDeAcesso"
"","2907","CT005.2 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 2","TesteNG com Selenium Grid","Mon Feb 10 10:57:59 GMT-03:00 2025","passed","Mon Feb 10 10:58:02 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Chrome","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosSegundaPagina"
"","96756","CT001.3 ALTERAR SENHA DE ACESSO PARA SENHAS NO FORMATO INVALIDO","TesteNG com Selenium Grid","Mon Feb 10 10:59:50 GMT-03:00 2025","broken","Mon Feb 10 11:01:26 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasNoFormatoInvalido"
"","1624","CT005.1 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 1","TesteNG com Selenium Grid","Mon Feb 10 10:58:34 GMT-03:00 2025","passed","Mon Feb 10 10:58:35 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Firefox","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosPrimeiraPagina"
"","20794","CT002 REALIZAR DEPOSITO COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:48:36 GMT-03:00 2025","failed","Mon Feb 10 10:48:57 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Chrome","testathon.test.deposito.DepositoTest","testDeveFazerDepositoComSucesso"
"","344","CT003.2 REALIZAR LOGIN COM SENHA EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 10:58:03 GMT-03:00 2025","passed","Mon Feb 10 10:58:03 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testTentarFazerLoginComSenhaEmBranco"
"","23140","CT009.1 VERIFICAR ERRO AO TENTAR ALTERAR DADOS SOCIAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:47:40 GMT-03:00 2025","passed","Mon Feb 10 10:48:03 GMT-03:00 2025","testathon.test.perfil.PerfilDadosSociaisTest","Teste Firefox","testathon.test.perfil.PerfilDadosSociaisTest","testDeveVerificarErroAoTentarAtualizarDadosComSucesso"
"","79202","CT001 ALTERAR SENHA DE ACESSO COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:49:07 GMT-03:00 2025","passed","Mon Feb 10 10:50:27 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testDeveAlterarSenhaDeAcesso"
"","43236","CT002.1 REALIZAR DEPOSITO COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:53:51 GMT-03:00 2025","passed","Mon Feb 10 10:54:35 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Chrome","testathon.test.deposito.DepositoTest","testNaoDeveFazerDepositoComSenhaInvalida"
"","10758","CT003.1 REALIZAR LOGIN COM SENHA INCORRETA","TesteNG com Selenium Grid","Mon Feb 10 10:54:36 GMT-03:00 2025","passed","Mon Feb 10 10:54:47 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testTentarFazerLoginComSenhaIncorreta"
"","29747","CT008 TRANSFERIR POR PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:46:14 GMT-03:00 2025","failed","Mon Feb 10 10:46:43 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Firefox","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComSucesso"
"","236563","CT007 CADASTRAR CHAVE PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:50:29 GMT-03:00 2025","passed","Mon Feb 10 10:54:26 GMT-03:00 2025","testathon.test.chavePix.ChavePixTest","Teste Firefox","testathon.test.chavePix.ChavePixTest","testDeveCadastrarChavePixComSucesso"
"","7236","CT003.1 REALIZAR LOGIN COM SENHA INCORRETA","TesteNG com Selenium Grid","Mon Feb 10 10:57:45 GMT-03:00 2025","passed","Mon Feb 10 10:57:52 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testTentarFazerLoginComSenhaIncorreta"
"","16335","CT006.1 REALIZAR TRANSFERÊNCIA TED COM DADOS INVALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:54:32 GMT-03:00 2025","passed","Mon Feb 10 10:54:48 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Firefox","testathon.test.transferencia.TransferenciaTest","testTentarTransferirParaContaComDadosInvalidos"
"","3295","CT005.2 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 2","TesteNG com Selenium Grid","Mon Feb 10 10:59:55 GMT-03:00 2025","passed","Mon Feb 10 10:59:59 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Firefox","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosSegundaPagina"
"","357","CT003.2 REALIZAR LOGIN COM SENHA EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 10:59:53 GMT-03:00 2025","passed","Mon Feb 10 10:59:53 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testTentarFazerLoginComSenhaEmBranco"
"","39771","CT006 REALIZAR TRANSFERÊNCIA TED COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:53:02 GMT-03:00 2025","passed","Mon Feb 10 10:53:42 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Chrome","testathon.test.transferencia.TransferenciaTest","testDeveTransferirComSucesso"
"","7464","CT003 REALIZAR LOGIN COM DADOS VALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:48:58 GMT-03:00 2025","passed","Mon Feb 10 10:49:06 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testDeveFazerLoginComDadosValidos"
"","28753","CT009.1 VERIFICAR ERRO AO TENTAR ALTERAR DADOS SOCIAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:51:11 GMT-03:00 2025","passed","Mon Feb 10 10:51:40 GMT-03:00 2025","testathon.test.perfil.PerfilDadosSociaisTest","Teste Chrome","testathon.test.perfil.PerfilDadosSociaisTest","testDeveVerificarErroAoTentarAtualizarDadosComSucesso"
"","1565","CT005.1 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 1","TesteNG com Selenium Grid","Mon Feb 10 10:53:44 GMT-03:00 2025","passed","Mon Feb 10 10:53:45 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Chrome","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosPrimeiraPagina"
"","7537","CT003 REALIZAR LOGIN COM DADOS VALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:49:05 GMT-03:00 2025","passed","Mon Feb 10 10:49:13 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testDeveFazerLoginComDadosValidos"
"","9154","CT005 VALIDAR CADASTRO DE CONTA COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:45:10 GMT-03:00 2025","passed","Mon Feb 10 10:45:19 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Chrome","testathon.test.cadastro.CadastroTest","testDeveCadastrarComSucesso"
"","42872","CT004 REALIZAR SAQUE COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:46:53 GMT-03:00 2025","failed","Mon Feb 10 10:47:36 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Firefox","testathon.test.saque.SaqueTest","testDeveFazerSaqueComSucesso"
"","27278","CT004.1 REALIZAR SAQUE COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:55:32 GMT-03:00 2025","passed","Mon Feb 10 10:56:00 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Firefox","testathon.test.saque.SaqueTest","testNaoDeveFazerSaqueComSenhaInvalida"
"","29528","CT008 TRANSFERIR POR PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:52:29 GMT-03:00 2025","failed","Mon Feb 10 10:52:59 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Chrome","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComSucesso"
"","97416","CT001.1 ALTERAR SENHA DE ACESSO PARA A MESMA","TesteNG com Selenium Grid","Mon Feb 10 10:56:04 GMT-03:00 2025","broken","Mon Feb 10 10:57:41 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaAMesma"
"","22226","CT002 REALIZAR DEPOSITO COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:49:24 GMT-03:00 2025","failed","Mon Feb 10 10:49:47 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Firefox","testathon.test.deposito.DepositoTest","testDeveFazerDepositoComSucesso"
"","31168","CT003.3 REALIZAR LOGIN COM CPF EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 10:59:16 GMT-03:00 2025","broken","Mon Feb 10 10:59:47 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testTentarFazerLoginComCpfEmBranco"
"","40328","CT010 DEVE ATUALIZAR DADOS PESSOAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:50:29 GMT-03:00 2025","passed","Mon Feb 10 10:51:09 GMT-03:00 2025","testathon.test.perfil.PerfilDadosPessoaisTest","Teste Chrome","testathon.test.perfil.PerfilDadosPessoaisTest","testDeveAtualizarDadosComSucesso"
"","70236","CT001.2 ALTERAR SENHA DE ACESSO PARA SENHAS QUE NÃO CONFEREM","TesteNG com Selenium Grid","Mon Feb 10 10:58:04 GMT-03:00 2025","passed","Mon Feb 10 10:59:15 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasQueNaoConferem"
"","35011","CT008.1 TENTAR REALIZAR TRANSFERENCIA POR PIX ACIMA DO SALDO DA CONTA","TesteNG com Selenium Grid","Mon Feb 10 10:57:03 GMT-03:00 2025","passed","Mon Feb 10 10:57:38 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Chrome","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComValorAcimaDoSaldoDaConta"
"","19297","CT010 DEVE ATUALIZAR DADOS PESSOAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:48:06 GMT-03:00 2025","broken","Mon Feb 10 10:48:26 GMT-03:00 2025","testathon.test.perfil.PerfilDadosPessoaisTest","Teste Firefox","testathon.test.perfil.PerfilDadosPessoaisTest","testDeveAtualizarDadosComSucesso"
"","97051","CT001.3 ALTERAR SENHA DE ACESSO PARA SENHAS NO FORMATO INVALIDO","TesteNG com Selenium Grid","Mon Feb 10 11:00:01 GMT-03:00 2025","broken","Mon Feb 10 11:01:38 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasNoFormatoInvalido"
"","15472","CT006.1 REALIZAR TRANSFERÊNCIA TED COM DADOS INVALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:57:42 GMT-03:00 2025","passed","Mon Feb 10 10:57:57 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Chrome","testathon.test.transferencia.TransferenciaTest","testTentarTransferirParaContaComDadosInvalidos"
"","97101","CT001.1 ALTERAR SENHA DE ACESSO PARA A MESMA","TesteNG com Selenium Grid","Mon Feb 10 10:54:48 GMT-03:00 2025","broken","Mon Feb 10 10:56:25 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaAMesma"
"","38491","CT004 REALIZAR SAQUE COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:51:49 GMT-03:00 2025","failed","Mon Feb 10 10:52:28 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Chrome","testathon.test.saque.SaqueTest","testDeveFazerSaqueComSucesso"
"","26562","CT004.1 REALIZAR SAQUE COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:56:35 GMT-03:00 2025","passed","Mon Feb 10 10:57:01 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Chrome","testathon.test.saque.SaqueTest","testNaoDeveFazerSaqueComSenhaInvalida"
"","31991","CT008.1 TENTAR REALIZAR TRANSFERENCIA POR PIX ACIMA DO SALDO DA CONTA","TesteNG com Selenium Grid","Mon Feb 10 10:54:51 GMT-03:00 2025","passed","Mon Feb 10 10:55:23 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Firefox","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComValorAcimaDoSaldoDaConta"
"","33887","CT005 VALIDAR CADASTRO DE CONTA COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:49:51 GMT-03:00 2025","broken","Mon Feb 10 10:50:25 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Firefox","testathon.test.cadastro.CadastroTest","testDeveCadastrarComSucesso"
"","72004","CT001.2 ALTERAR SENHA DE ACESSO PARA SENHAS QUE NÃO CONFEREM","TesteNG com Selenium Grid","Mon Feb 10 10:58:38 GMT-03:00 2025","passed","Mon Feb 10 10:59:50 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasQueNaoConferem"
"","29679","CT002.1 REALIZAR DEPOSITO COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:58:01 GMT-03:00 2025","passed","Mon Feb 10 10:58:31 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Firefox","testathon.test.deposito.DepositoTest","testNaoDeveFazerDepositoComSenhaInvalida"
"","188825","CT007 CADASTRAR CHAVE PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:45:20 GMT-03:00 2025","passed","Mon Feb 10 10:48:29 GMT-03:00 2025","testathon.test.chavePix.ChavePixTest","Teste Chrome","testathon.test.chavePix.ChavePixTest","testDeveCadastrarChavePixComSucesso"
